session,context,subset,accuracy,p_uncorrected,ll,ul
sub-001,inter,max,0.7140000000000001,0.0,0.45599999999999996,0.546
sub-001,intra_human,max,0.556,0.066,0.43600000000000005,0.5640000000000001
sub-001,intra_monkey,max,0.54,0.14,0.44000000000000006,0.568
sub-002,inter,max,0.5341638981173865,0.112,0.454202657807309,0.5460686600221484
sub-002,intra_human,max,0.5261904761904762,0.241,0.4313636363636363,0.5627813852813852
sub-002,intra_monkey,max,0.4811688311688311,0.681,0.4246645021645022,0.5658008658008657
sub-003,inter,max,0.5796747967479675,0.005,0.45446283391405345,0.550348432055749
sub-003,intra_human,max,0.5054761904761904,0.462,0.4319047619047619,0.5683333333333334
sub-003,intra_monkey,max,0.5145238095238095,0.386,0.43213095238095234,0.5716785714285714
sub-004,inter,max,0.5642557651991614,0.004,0.45834556254367576,0.5416526904262753
sub-004,intra_human,max,0.46467236467236467,0.836,0.438454415954416,0.5578418803418804
sub-004,intra_monkey,max,0.49245014245014246,0.603,0.44386752136752133,0.5598361823361824
sub-005,inter,max,0.53,0.226,0.43,0.5700000000000001
sub-005,intra_human,max,0.5499999999999999,0.222,0.40950000000000003,0.5999999999999999
sub-005,intra_monkey,max,0.51,0.405,0.4,0.6004999999999996
sub-006,inter,max,0.6754734848484849,0.0,0.44601325757575755,0.5541808712121211
sub-006,intra_human,max,0.44375,0.869,0.41875,0.58125
sub-006,intra_monkey,max,0.5279411764705882,0.28,0.4169117647058823,0.5775735294117647
sub-007,inter,max,0.5107142857142858,0.37,0.4428571428571429,0.5571428571428572
sub-007,intra_human,max,0.6071428571428571,0.016,0.42107142857142854,0.5857142857142856
sub-007,intra_monkey,max,0.5142857142857142,0.385,0.4142857142857143,0.5857142857142857
sub-008,inter,max,0.5732007575757576,0.008,0.44213541666666667,0.5516382575757575
sub-008,intra_human,max,0.5025735294117647,0.477,0.42205882352941176,0.5775735294117647
sub-008,intra_monkey,max,0.5051470588235294,0.501,0.42463235294117646,0.5811213235294115
sub-009,inter,max,0.5977932636469221,0.0,0.45237514518002325,0.5496544715447155
sub-009,intra_human,max,0.5366666666666666,0.208,0.4335238095238095,0.5671428571428571
sub-009,intra_monkey,max,0.5361904761904762,0.167,0.42928571428571427,0.5659642857142857
sub-010,inter,max,0.597121212121212,0.0,0.4544924242424242,0.5453030303030302
sub-010,intra_human,max,0.45731225296442685,0.846,0.4304249011857708,0.5663339920948616
sub-010,intra_monkey,max,0.4571146245059288,0.876,0.43873517786561267,0.5695750988142293
sub-012,inter,max,0.5742481203007518,0.0,0.45742167919799503,0.5389802631578947
sub-012,intra_human,max,0.5338669950738917,0.169,0.4417487684729064,0.5580110837438423
sub-012,intra_monkey,max,0.40899014778325127,0.993,0.4416256157635468,0.562192118226601
sub-013,inter,max,0.517536231884058,0.27,0.4517850241545893,0.5439154589371981
sub-013,intra_human,max,0.5328063241106719,0.21,0.43694664031620556,0.5636363636363636
sub-013,intra_monkey,max,0.4932806324110672,0.549,0.4322134387351778,0.5634387351778656
sub-014,inter,max,0.53435960591133,0.152,0.4413731527093596,0.5549261083743842
sub-014,intra_human,max,0.568095238095238,0.104,0.41690476190476194,0.588095238095238
sub-014,intra_monkey,max,0.6214285714285716,0.005,0.4142857142857143,0.5785714285714286
sub-015,inter,max,0.5983838383838382,0.0,0.4582491582491582,0.5430387205387205
sub-015,intra_human,max,0.45052910052910045,0.921,0.4394179894179894,0.5574074074074074
sub-015,intra_monkey,max,0.5259259259259259,0.206,0.4375661375661376,0.5560780423280423
sub-016,inter,max,0.5785714285714285,0.056,0.41428571428571426,0.5857142857142856
sub-016,intra_human,max,0.6285714285714284,0.032,0.37142857142857144,0.6142857142857142
sub-016,intra_monkey,max,0.5857142857142856,0.109,0.3857142857142857,0.6142857142857143
sub-017,inter,max,0.5115384615384615,0.374,0.44997975708502025,0.5480465587044535
sub-017,intra_human,max,0.4944736842105263,0.519,0.42709210526315783,0.5768421052631578
sub-017,intra_monkey,max,0.5178947368421052,0.35,0.42577631578947367,0.5739605263157894
sub-019,inter,max,0.6799999999999999,0.0,0.44666666666666666,0.5566666666666666
sub-019,intra_human,max,0.56,0.093,0.4133333333333334,0.58
sub-019,intra_monkey,max,0.4600000000000001,0.754,0.4133333333333334,0.5733333333333334
sub-020,inter,max,0.510575858250277,0.371,0.45232558139534884,0.5484523809523808
sub-020,intra_human,max,0.45714285714285713,0.854,0.4331168831168831,0.5710064935064935
sub-020,intra_monkey,max,0.5393939393939393,0.155,0.4313744588744588,0.5677597402597402
sub-021,inter,max,0.5444444444444445,0.046,0.4574074074074074,0.5444444444444445
sub-021,intra_human,max,0.4962962962962963,0.525,0.44074074074074066,0.5592592592592592
sub-021,intra_monkey,max,0.46296296296296297,0.814,0.437037037037037,0.5592592592592592
sub-022,inter,max,0.536045197740113,0.06,0.4619053672316384,0.5366059322033898
sub-022,intra_human,max,0.45298850574712646,0.928,0.4459712643678161,0.553683908045977
sub-022,intra_monkey,max,0.5487356321839081,0.072,0.44849425287356326,0.555632183908046
sub-023,inter,max,0.6578947368421053,0.0,0.4492543859649123,0.5485188933873144
sub-023,intra_human,max,0.5339473684210526,0.203,0.4307631578947368,0.5707894736842105
sub-023,intra_monkey,max,0.5305263157894737,0.247,0.4263026315789473,0.5726710526315789
sub-024,inter,max,0.5078947368421053,0.375,0.4473684210526316,0.5473684210526316
sub-024,intra_human,max,0.47894736842105257,0.675,0.43157894736842095,0.5684210526315789
sub-024,intra_monkey,max,0.5578947368421053,0.07,0.42631578947368415,0.5684210526315789
sub-025,inter,max,0.6090909090909091,0.002,0.43636363636363634,0.5681818181818181
sub-025,intra_human,max,0.43636363636363634,0.848,0.4086363636363636,0.590909090909091
sub-025,intra_monkey,max,0.5636363636363637,0.122,0.4086363636363636,0.6
sub-026,inter,max,0.5526436781609195,0.073,0.4413735632183908,0.5583965517241379
sub-026,intra_human,max,0.45857142857142863,0.77,0.41140476190476183,0.5796190476190476
sub-026,intra_monkey,max,0.46238095238095234,0.763,0.41714285714285715,0.5833333333333333
sub-028,inter,max,0.5221428571428571,0.248,0.4463492063492064,0.5488174603174603
sub-028,intra_human,max,0.5065359477124183,0.429,0.42745098039215684,0.5715686274509805
sub-028,intra_monkey,max,0.4428104575163399,0.894,0.426797385620915,0.5778267973856208
sub-030,inter,max,0.6326676907322069,0.0,0.4600576036866359,0.5385663082437275
sub-030,intra_human,max,0.569758064516129,0.016,0.4428427419354839,0.5544405241935484
sub-030,intra_monkey,max,0.5100806451612903,0.386,0.44535786290322577,0.5569556451612904
sub-032,inter,max,0.6412307692307693,0.0,0.4361307692307693,0.5587692307692308
sub-032,intra_human,max,0.5403846153846155,0.214,0.4146153846153846,0.5833333333333333
sub-032,intra_monkey,max,0.5217948717948717,0.35,0.4115064102564102,0.5865705128205129
sub-033,inter,max,0.6038655462184874,0.002,0.44857142857142857,0.5514327731092437
sub-033,intra_human,max,0.4839869281045752,0.652,0.42645424836601303,0.5787581699346405
sub-033,intra_monkey,max,0.5058823529411764,0.39,0.4235294117647059,0.5705882352941176
sub-034,inter,max,0.5918390804597701,0.004,0.4437068965517242,0.555867816091954
sub-034,intra_human,max,0.5638095238095238,0.095,0.4219047619047619,0.5787142857142855
sub-034,intra_monkey,max,0.4947619047619048,0.518,0.41809523809523813,0.5809523809523809
sub-035,inter,max,0.6247863247863247,0.001,0.43319088319088317,0.5632478632478632
sub-035,intra_human,max,0.55,0.162,0.4197802197802198,0.5873901098901099
sub-035,intra_monkey,max,0.476923076923077,0.63,0.41538461538461535,0.5923076923076922
sub-036,inter,max,0.6277777777777778,0.0,0.44801587301587303,0.5522261904761905
sub-036,intra_human,max,0.4758169934640522,0.7,0.42743464052287583,0.5784477124183007
sub-036,intra_monkey,max,0.4189542483660131,0.963,0.42516339869281045,0.5800816993464053
sub-038,inter,max,0.5916666666666667,0.002,0.45625,0.5458333333333333
sub-038,intra_human,max,0.4624999999999999,0.841,0.4374999999999999,0.5666666666666667
sub-038,intra_monkey,max,0.5458333333333333,0.115,0.4375,0.5625
sub-039,inter,max,0.636,0.0,0.45589999999999997,0.544
sub-039,intra_human,max,0.4720000000000001,0.749,0.44000000000000006,0.5641999999999999
sub-039,intra_monkey,max,0.544,0.119,0.43600000000000005,0.5600000000000002
sub-040,inter,max,0.5666666666666667,0.065,0.42777777777777776,0.5722222222222223
sub-040,intra_human,max,0.33333333333333337,0.991,0.38888888888888895,0.6
sub-040,intra_monkey,max,0.4333333333333333,0.824,0.39999999999999997,0.6000000000000001
sub-041,inter,max,0.5050537634408602,0.425,0.4388118279569892,0.5553978494623655
sub-041,intra_human,max,0.4666666666666666,0.764,0.4133333333333334,0.58
sub-041,intra_monkey,max,0.46499999999999997,0.741,0.4166666666666667,0.5777499999999997
sub-042,inter,max,0.4893387314439946,0.637,0.45060728744939266,0.5518893387314441
sub-042,intra_human,max,0.5947368421052632,0.007,0.42631578947368426,0.5684210526315789
sub-042,intra_monkey,max,0.4747368421052632,0.682,0.4239473684210527,0.5713157894736842
sub-043,inter,max,0.5556054997355896,0.006,0.4604957694341618,0.5379706504494977
sub-043,intra_human,max,0.5225806451612904,0.242,0.441774193548387,0.5548387096774193
sub-043,intra_monkey,max,0.49795698924731174,0.517,0.4468709677419356,0.5565698924731183
sub-044,inter,max,0.4916666666666667,0.609,0.4478828828828829,0.5518843843843843
sub-044,intra_human,max,0.4859649122807018,0.641,0.4321491228070175,0.5742982456140351
sub-044,intra_monkey,max,0.5307017543859649,0.248,0.4257309941520468,0.5736988304093568
